Image;ID;Method;EMR
FILE_021_0.jpg;FILE_021_0.jpg_h1;Linear;0.0000
FILE_021_0.jpg;FILE_021_0.jpg_h1;Spline;0.0000
FILE_021_0.jpg;FILE_021_0.jpg_h1;Poly3;0.1078
FILE_021_1.jpg;FILE_021_1.jpg_h1;Linear;0.0000
FILE_021_1.jpg;FILE_021_1.jpg_h1;Spline;0.0000
FILE_021_1.jpg;FILE_021_1.jpg_h1;Poly3;0.1078
FILE_021_11.jpg;FILE_021_11.jpg_h1;Linear;0.0000
FILE_021_11.jpg;FILE_021_11.jpg_h1;Spline;0.0000
FILE_021_11.jpg;FILE_021_11.jpg_h1;Poly3;0.1140
FILE_021_12.jpg;FILE_021_12.jpg_h1;Linear;0.0000
FILE_021_12.jpg;FILE_021_12.jpg_h1;Spline;0.0000
FILE_021_12.jpg;FILE_021_12.jpg_h1;Poly3;0.1078
FILE_021_13.jpg;FILE_021_13.jpg_h1;Linear;0.0000
FILE_021_13.jpg;FILE_021_13.jpg_h1;Spline;0.0000
FILE_021_13.jpg;FILE_021_13.jpg_h1;Poly3;0.1304
FILE_021_15.jpg;FILE_021_15.jpg_h1;Linear;0.0000
FILE_021_15.jpg;FILE_021_15.jpg_h1;Spline;0.0000
FILE_021_15.jpg;FILE_021_15.jpg_h1;Poly3;0.1140
FILE_021_16.jpg;FILE_021_16.jpg_h1;Linear;0.0000
FILE_021_16.jpg;FILE_021_16.jpg_h1;Spline;0.0000
FILE_021_16.jpg;FILE_021_16.jpg_h1;Poly3;0.1094
FILE_021_17.jpg;FILE_021_17.jpg_h1;Linear;0.0000
FILE_021_17.jpg;FILE_021_17.jpg_h1;Spline;0.0000
FILE_021_17.jpg;FILE_021_17.jpg_h1;Poly3;0.1078
FILE_021_19.jpg;FILE_021_19.jpg_h1;Linear;0.0000
FILE_021_19.jpg;FILE_021_19.jpg_h1;Spline;0.0000
FILE_021_19.jpg;FILE_021_19.jpg_h1;Poly3;0.1319
FILE_021_2.jpg;FILE_021_2.jpg_h1;Linear;0.0000
FILE_021_2.jpg;FILE_021_2.jpg_h1;Spline;0.0000
FILE_021_2.jpg;FILE_021_2.jpg_h1;Poly3;0.1078
FILE_021_20.jpg;FILE_021_20.jpg_h1;Linear;0.0000
